instruction,output
Can you tell me the latest news headlines for the United States?,"name: get_news_headlines
arguments:
  country: United States"
"I would like it to be 12 characters long and yes, please include symbols.","name: generate_password
arguments:
  length: 12
  include_symbols: true"
"I want it to be 12 characters long and yes, it should include both numbers and special characters.","name: generate_password
arguments:
  length: 12
  include_numbers: true
  include_special_characters: true"
"The numbers are 5, 2, 9, 1, 7, 4, 6, 3, 8.","name: calculate_median
arguments:
  numbers[9]: 5,2,9,1,7,4,6,3,8"
"Hi, I need to calculate my monthly loan payment. I have a loan of $50000 with an annual interest rate of 5% and a loan term of 10 years. Can you help me with that?


 Of course, I can help you with that. Let me calculate it for you. <|endoftext|>","name: calculate_loan_payment
arguments:
  principal: 50000
  interest_rate: 5
  loan_term: 10"
"Hi, I need to convert a temperature from Celsius to Fahrenheit. The temperature is 30 degrees Celsius.","name: convert_temperature
arguments:
  temperature: 30
  from_unit: Celsius
  to_unit: Fahrenheit"
"Hi, I need help with calculating a tip. My bill is $50 and I want to leave a 20% tip. 


 Sure, let me calculate that for you. <|endoftext|>","name: calculate_tip
arguments:
  bill_amount: 50
  tip_percentage: 20"
I need to create a new contact for my friend John Doe. His email is johndoe@example.com.,"name: create_contact
arguments:
  name: John Doe
  email: johndoe@example.com"
"Can you find information about the movie ""Inception""?","name: search_movie
arguments:
  title: Inception"
"Hey, can you tell me the current price of Apple's stock?","name: get_stock_price
arguments:
  stock_symbol: AAPL"
"Sure, the loan amount is $200,000, the interest rate is 3.5% per year, and the loan term is 30 years.","name: calculate_loan_payment
arguments:
  loan_amount: 200000
  interest_rate: 3.5
  loan_term: 360"
"Hi, I need help with calculating a tip. My bill amount is $50 and I want to give a 15% tip.","name: calculate_tip
arguments:
  bill_amount: 50
  tip_percentage: 15"
I need a random number between 1 and 100.,"name: generate_random_number
arguments:
  min: 1
  max: 100"
I am looking for a book but I can't remember the title. The author's name is George Orwell.,"name: search_books
arguments:
  author: George Orwell"
"I want it to be 12 characters long, with numbers and symbols.","name: generate_password
arguments:
  length: 12
  include_numbers: true
  include_symbols: true"
"Hi, I need to convert 500 USD to EUR. Can you help me with that?","name: convert_currency
arguments:
  amount: 500
  from_currency: USD
  to_currency: EUR"
"Hi, I need to know the distance between New York and Los Angeles. Can you help me with that?


 Sure, I can help with that. Let me calculate the distance for you. <|endoftext|>","name: calculate_distance
arguments:
  lat1: 40.7128
  lon1: -74.006
  lat2: 34.0522
  lon2: -118.2437"
"Hey, I want to know the lyrics of the song 'Shape of You' by Ed Sheeran.","name: get_lyrics
arguments:
  song: Shape of You
  artist: Ed Sheeran"
I need a random number between 1 and 100.,"name: generate_random_number
arguments:
  min: 1
  max: 100"
"Hey, can you tell me about the movie 'Inception' released in 2010?


 Sure, let me fetch the details for you. <|endoftext|>","name: get_movie_details
arguments:
  title: Inception
  year: 2010"
"Hi, I'm looking for books by J.K. Rowling. Can you help me find them?","name: search_books
arguments:
  query: J.K. Rowling"
"Hey, can you find me some news articles about the latest technology trends?


 Of course, I can help with that. Let me find the information for you. <|endoftext|>","name: search_news
arguments:
  keywords[1]: latest technology trends"
"Hi, I want to create a new email account. Can you check if the email address john.doe@gmail.com is available?","name: check_email_availability
arguments:
  email: john.doe@gmail.com"
"I'm in the mood for a comedy. Maybe something with the keyword ""holiday""?","name: search_movies
arguments:
  keyword: holiday
  genre: comedy"
"Hi, I was born on 1990-05-15. Can you tell me how old I am?","name: calculate_age
arguments:
  date_of_birth: 1990-05-15"
I saw a jacket I liked in a store. It was priced at $100 but there's a 20% discount. Can you tell me how much it will cost after the discount?,"name: calculate_discount
arguments:
  original_price: 100
  discount_percentage: 20"
"Can you tell me more about the movie ""Inception""?","name: get_movie_info
arguments:
  title: Inception"
"I have chicken, tomatoes, and garlic. Can you find me a recipe?","name: search_recipe
arguments:
  ingredients[3]: chicken,tomatoes,garlic"
Can you find me some movies with Tom Hanks?,"name: search_movies
arguments:
  search_query: Tom Hanks"
What does the word 'serendipity' mean?,"name: get_definition
arguments:
  word: serendipity"
"Hi, I was born on 1990-05-15. Can you tell me how old I am today?","name: calculate_age
arguments:
  dob: 1990-05-15"
"Sure, the principal amount is $50000, the annual interest rate is 5%, and the loan term is 10 years.","name: calculate_loan_payment
arguments:
  principal: 50000
  interest_rate: 5
  loan_term: 10"
"Sure, the URL is www.mywebsite.com and I want to analyze the metrics for traffic, bounce rate, and page load time.","name: analyze_website
arguments:
  website_url: www.mywebsite.com
  metrics[3]: traffic,bounce rate,page load time"
"Sure, the loan amount is $200,000, the interest rate is 3.5%, and the loan term is 30 years.","name: calculate_mortgage_payment
arguments:
  loan_amount: 200000
  interest_rate: 3.5
  loan_term: 30"
"Hi, can you tell me the current price of Apple's stock?","name: get_stock_price
arguments:
  stock_symbol: AAPL"
"Hi, can you tell me the current price of Apple's stock?","name: get_stock_price
arguments:
  stock_symbol: AAPL"
"Hi, I need to convert 1000 US dollars to Euros. Can you help me with that?","name: convert_currency
arguments:
  amount: 1000
  from_currency: USD
  to_currency: EUR"
"Hi, I need a new username. My name is John Doe and I was born in 1990.","name: generate_username
arguments:
  first_name: John
  last_name: Doe
  birth_year: 1990"
Can you tell me the current stock price of Apple?,"name: get_stock_price
arguments:
  symbol: AAPL"
"I have chicken, bell peppers, and onions.","name: search_recipe
arguments:
  ingredients[3]: chicken,bell peppers,onions"
"Hi, I need help with calculating a tip. My bill amount is $50 and I want to give a 15% tip.","name: calculate_tip
arguments:
  bill_amount: 50
  tip_percentage: 15"
"Hi, I was born on 1990-05-15. Can you tell me how old I am today?","name: calculate_age
arguments:
  date_of_birth: 1990-05-15"
"Hi, I need to calculate my tax. My income is $50000 and the tax rate is 20%.","name: calculate_tax
arguments:
  income: 50000
  tax_rate: 20"
"Sure, the principal amount is $200,000, the annual interest rate is 5%, and the loan term is 30 years.","name: calculate_loan_payment
arguments:
  principal: 200000
  interest_rate: 5
  loan_term: 30"
